,question,distractor3,distractor1,distractor2,correct_answer,support,answer,question_with_text,choice_list,label,predicted_index,predicted_answer
861,A sample of matter that has the same physical and chemical properties throughout itself is known as what?,molecule,antimatter,essence,substance,"A sample of matter that has the same physical and chemical properties throughout is called a substance. Sometimes the phrase pure substance is used, but the word pure isn’t needed. The definition of the term substance is an example of how chemistry has a specific definition for a word that is used in everyday language with a different, vaguer definition. Here, we will use the term substance with its strict chemical definition. Chemistry recognizes two different types of substances: elements and compounds. An element is the simplest type of chemical substance; it cannot be broken down into simpler chemical substances by ordinary chemical means. There are about 115 elements known to science, of which 80 are stable. (The other elements are radioactive, a condition we will consider in Chapter 15 ""Nuclear Chemistry"". ) Each element has its own unique set of physical and chemical properties. Examples of elements include iron, carbon, and gold.",substance,"Question: A sample of matter that has the same physical and chemical properties throughout itself is known as what?. Supporting Text: A sample of matter that has the same physical and chemical properties throughout is called a substance. Sometimes the phrase pure substance is used, but the word pure isn’t needed. The definition of the term substance is an example of how chemistry has a specific definition for a word that is used in everyday language with a different, vaguer definition. Here, we will use the term substance with its strict chemical definition. Chemistry recognizes two different types of substances: elements and compounds. An element is the simplest type of chemical substance; it cannot be broken down into simpler chemical substances by ordinary chemical means. There are about 115 elements known to science, of which 80 are stable. (The other elements are radioactive, a condition we will consider in Chapter 15 ""Nuclear Chemistry"". ) Each element has its own unique set of physical and chemical properties. Examples of elements include iron, carbon, and gold..",['molecule' 'essence' 'antimatter' 'substance'],3,3,substance
862,Hepatitis b is inflammation of which organ?,the brain,the colon,the kidney,the liver,"Hepatitis B is inflammation of the liver caused by infection with the hepatitis B virus. In many people, the immune system quickly eliminates the virus from the body. However, in a small percentage of people, the virus remains in the body and continues to cause illness. It may eventually damage the liver and increase the risk of liver cancer, which is usually fatal.",the liver,"Question: Hepatitis b is inflammation of which organ?. Supporting Text: Hepatitis B is inflammation of the liver caused by infection with the hepatitis B virus. In many people, the immune system quickly eliminates the virus from the body. However, in a small percentage of people, the virus remains in the body and continues to cause illness. It may eventually damage the liver and increase the risk of liver cancer, which is usually fatal..",['the brain' 'the kidney' 'the colon' 'the liver'],3,3,the liver
863,"If a substance has a ph value greater than 7, what does it indicate?",volatile,acidic,neutral,base,"The strength of bases is measured on the pH scale. A pH value greater than 7 indicates a base, and the higher the number is, the stronger the base.",base,"Question: If a substance has a ph value greater than 7, what does it indicate?. Supporting Text: The strength of bases is measured on the pH scale. A pH value greater than 7 indicates a base, and the higher the number is, the stronger the base..",['volatile' 'neutral' 'acidic' 'base'],3,3,base
864,The percent yield is determined by calculating the ratio of actual yield by what?,actual loss,past balance,predicted return,theoretical yield,The percent yield is determined by calculating the ratio of actual yield/theoretical yield.,theoretical yield,Question: The percent yield is determined by calculating the ratio of actual yield by what?. Supporting Text: The percent yield is determined by calculating the ratio of actual yield/theoretical yield..,['actual loss' 'predicted return' 'past balance' 'theoretical yield'],3,3,theoretical yield
865,What are located along convergent and divergent plate boundaries?,dunes,mezas,megaliths,volcanoes,Volcanoes are located along convergent and divergent plate boundaries. They can be found in the middle of plates at hot spots.,volcanoes,Question: What are located along convergent and divergent plate boundaries?. Supporting Text: Volcanoes are located along convergent and divergent plate boundaries. They can be found in the middle of plates at hot spots..,['dunes' 'megaliths' 'mezas' 'volcanoes'],3,3,volcanoes
866,What part of the neuron is a large structure with a central nucleus?,Environmental,proteins body,Eye body,cell body,"33.19. The large structure with a central nucleus is the cell body of the neuron. Projections from the cell body are either dendrites specialized in receiving input or a single axon specialized in transmitting impulses. Some glial cells are also shown. Astrocytes regulate the chemical environment of the nerve cell, and oligodendrocytes insulate the axon so the electrical nerve impulse is transferred more efficiently. Other glial cells that are not shown support the nutritional and waste requirements of the neuron. Some of the glial cells are phagocytic and remove debris or damaged cells from the tissue. A nerve consists of neurons and glial cells.",cell body,"Question: What part of the neuron is a large structure with a central nucleus?. Supporting Text: 33.19. The large structure with a central nucleus is the cell body of the neuron. Projections from the cell body are either dendrites specialized in receiving input or a single axon specialized in transmitting impulses. Some glial cells are also shown. Astrocytes regulate the chemical environment of the nerve cell, and oligodendrocytes insulate the axon so the electrical nerve impulse is transferred more efficiently. Other glial cells that are not shown support the nutritional and waste requirements of the neuron. Some of the glial cells are phagocytic and remove debris or damaged cells from the tissue. A nerve consists of neurons and glial cells..",['Environmental' 'Eye body' 'proteins body' 'cell body'],3,3,cell body
867,Hydrogen-based fuel cells were and are used to provide what for manned space vehicles?,gravity,light,magnetism,electricity,"Hydrogen-based fuel cells were and are used to provide electricity for manned space vehicles, partly because their only chemical product is water, which could be used for drinking. However, there has been a recent resurgence in interest in fuel cells because of their potential use in electric cars. Most electric cars run on conventional batteries, which can be very heavy and expensive to replace. It is thought that fuel cells, rather than conventional batteries, might be better sources of electricity for automobiles. Several current barriers to fuel cell use in electric cars include capacity, cost, and overall energy efficiency. The 2008 Honda FCX, the first production model of a vehicle powered with a fuel cell, can hold 4.1 kg (just under 9 lb) of highly pressured H2 gas and has a range of 450 km (280 mi). It costs about $120,000–$140,000 to build, making the vehicle beyond the ability of most people to own. Finally, it always requires more energy to produce elemental hydrogen as a fuel than can be extracted from hydrogen as a fuel. As such, hydrogen is described as an energy carrier (like electricity) rather than an energy source (like oil and gas). This distinction points out a fundamental argument against fuel cells as a “better” power source.",electricity,"Question: Hydrogen-based fuel cells were and are used to provide what for manned space vehicles?. Supporting Text: Hydrogen-based fuel cells were and are used to provide electricity for manned space vehicles, partly because their only chemical product is water, which could be used for drinking. However, there has been a recent resurgence in interest in fuel cells because of their potential use in electric cars. Most electric cars run on conventional batteries, which can be very heavy and expensive to replace. It is thought that fuel cells, rather than conventional batteries, might be better sources of electricity for automobiles. Several current barriers to fuel cell use in electric cars include capacity, cost, and overall energy efficiency. The 2008 Honda FCX, the first production model of a vehicle powered with a fuel cell, can hold 4.1 kg (just under 9 lb) of highly pressured H2 gas and has a range of 450 km (280 mi). It costs about $120,000–$140,000 to build, making the vehicle beyond the ability of most people to own. Finally, it always requires more energy to produce elemental hydrogen as a fuel than can be extracted from hydrogen as a fuel. As such, hydrogen is described as an energy carrier (like electricity) rather than an energy source (like oil and gas). This distinction points out a fundamental argument against fuel cells as a “better” power source..",['gravity' 'magnetism' 'light' 'electricity'],3,3,electricity
868,What are plants that are adapted to very dry environments called?,sporozoans,succulents,pores,xerophytes,"Plants that live in extremely dry environments have the opposite problem: how to get and keep water. Plants that are adapted to very dry environments are called xerophytes . Their adaptations may help them increase water intake, decrease water loss, or store water when it's available.",xerophytes,"Question: What are plants that are adapted to very dry environments called?. Supporting Text: Plants that live in extremely dry environments have the opposite problem: how to get and keep water. Plants that are adapted to very dry environments are called xerophytes . Their adaptations may help them increase water intake, decrease water loss, or store water when it's available..",['sporozoans' 'pores' 'succulents' 'xerophytes'],3,3,xerophytes
869,What neurons carry nerve impulses from sense organs and internal organs to the central nervous system?,axons,vascular,autonomic,sensory,Sensory neurons carry nerve impulses from sense organs and internal organs to the central nervous system.,sensory,Question: What neurons carry nerve impulses from sense organs and internal organs to the central nervous system?. Supporting Text: Sensory neurons carry nerve impulses from sense organs and internal organs to the central nervous system..,['axons' 'autonomic' 'vascular' 'sensory'],3,3,sensory
870,"Associated with hair follicles, what type of oil gland is found all over the body and helps to lubricate and waterproof the skin and hair?",gametes gland,sweat gland,melanin gland,sebaceous gland,"Sebaceous Glands A sebaceous gland is a type of oil gland that is found all over the body and helps to lubricate and waterproof the skin and hair. Most sebaceous glands are associated with hair follicles. They generate and excrete sebum, a mixture of lipids, onto the skin surface, thereby naturally lubricating the dry and dead layer of keratinized cells of the stratum corneum, keeping it pliable. The fatty acids of sebum also have antibacterial properties, and prevent water loss from the skin in low-humidity environments. The secretion of sebum is stimulated by hormones, many of which do not become active until puberty. Thus, sebaceous glands are relatively inactive during childhood.",sebaceous gland,"Question: Associated with hair follicles, what type of oil gland is found all over the body and helps to lubricate and waterproof the skin and hair?. Supporting Text: Sebaceous Glands A sebaceous gland is a type of oil gland that is found all over the body and helps to lubricate and waterproof the skin and hair. Most sebaceous glands are associated with hair follicles. They generate and excrete sebum, a mixture of lipids, onto the skin surface, thereby naturally lubricating the dry and dead layer of keratinized cells of the stratum corneum, keeping it pliable. The fatty acids of sebum also have antibacterial properties, and prevent water loss from the skin in low-humidity environments. The secretion of sebum is stimulated by hormones, many of which do not become active until puberty. Thus, sebaceous glands are relatively inactive during childhood..",['gametes gland' 'melanin gland' 'sweat gland' 'sebaceous gland'],3,3,sebaceous gland
871,"The five human senses are taste, touch, vision, hearing and one more. what is it?",fear,perception,audio,smell,"Vision is just one of several human senses. Other human senses include hearing, touch, taste, and smell. Imagine shopping at the fruit market in Figure below . It would stimulate all of these senses. You would hear the noisy bustle of the market. You could feel the smooth skin of the fruit. If you tried a sample, you could smell the fruity aroma and taste its sweet flavor.",smell,"Question: The five human senses are taste, touch, vision, hearing and one more. what is it?. Supporting Text: Vision is just one of several human senses. Other human senses include hearing, touch, taste, and smell. Imagine shopping at the fruit market in Figure below . It would stimulate all of these senses. You would hear the noisy bustle of the market. You could feel the smooth skin of the fruit. If you tried a sample, you could smell the fruity aroma and taste its sweet flavor..",['fear' 'audio' 'perception' 'smell'],3,3,smell
872,How many bones does an adult skeleton have?,192,208,196,206,"Bones are the main organs of the skeletal system. In adults, the skeleton consists of a whopping 206 bones, many of them in the hands and feet. You can see many of the bones of the human skeleton in Figure below . The skeletal system also includes cartilage and ligaments.",206,"Question: How many bones does an adult skeleton have?. Supporting Text: Bones are the main organs of the skeletal system. In adults, the skeleton consists of a whopping 206 bones, many of them in the hands and feet. You can see many of the bones of the human skeleton in Figure below . The skeletal system also includes cartilage and ligaments..",['192' '196' '208' '206'],3,3,206
873,"Temperature and precipitation determine the types of what that can grow in an area, in turn affecting the animals that live there?",birds,roots,building,plants,"Temperature and precipitation determine what types of plants can grow in an area. Animals and other living things depend on plants. So each climate is associated with certain types of living things. A major type of climate and its living things make up a biome . As you read about the major climate types below, find them on the map above ( Figure above ).",plants,"Question: Temperature and precipitation determine the types of what that can grow in an area, in turn affecting the animals that live there?. Supporting Text: Temperature and precipitation determine what types of plants can grow in an area. Animals and other living things depend on plants. So each climate is associated with certain types of living things. A major type of climate and its living things make up a biome . As you read about the major climate types below, find them on the map above ( Figure above )..",['birds' 'building' 'roots' 'plants'],3,3,plants
874,What is the transfer of heat by physical contact?,diffusion,oxidation,inhibition,conduction,"Heat can be transferred in three ways, through conduction, convection, and radiation. Conduction is the transfer of heat by physical contact. Heat flows form the hotter object to the cooler object. Convection is heat transfer by an intermediate substance (for example air or water). Your oven (often properly called the ‘convection oven’) works by heating up the air and then the air heats up your food. Radiation is the release of heat (and thus the lowering of its internal energy) by releasing electromagnetic waves. The hotter the object the higher the frequency of the light emitted. When you look at a fire the blue flames our hotter than the red flames because blue has a higher frequency than red.",conduction,"Question: What is the transfer of heat by physical contact?. Supporting Text: Heat can be transferred in three ways, through conduction, convection, and radiation. Conduction is the transfer of heat by physical contact. Heat flows form the hotter object to the cooler object. Convection is heat transfer by an intermediate substance (for example air or water). Your oven (often properly called the ‘convection oven’) works by heating up the air and then the air heats up your food. Radiation is the release of heat (and thus the lowering of its internal energy) by releasing electromagnetic waves. The hotter the object the higher the frequency of the light emitted. When you look at a fire the blue flames our hotter than the red flames because blue has a higher frequency than red..",['diffusion' 'inhibition' 'oxidation' 'conduction'],3,3,conduction
875,"What analytical technique, using stained gel, can separate dna fragments or rna molecules and proteins?",static electrophoresis,microwave electrophoresis,surface electrophoresis,gel electrophoresis,"Gel electrophoresis is an analytical technique used to separate DNA fragments by size and charge. Notice in Figure below that the ""gels"" are rectangular in shape. The gels are made of a gelatin-like material of either agarose or polyacrylamide. An electric field, with a positive charge applied at one end of the gel, and a negative charge at the other end, forces the fragments to migrate through the gel. DNA molecules migrate from negative to positive charges due to the net negative charge of the phosphate groups in the DNA backbone. Longer molecules migrate more slowly through the gel matrix. After the separation is completed, DNA fragments of different lengths can be visualized using a fluorescent dye specific for DNA, such as ethidium bromide. The resulting stained gel shows bands correspond to DNA molecules of different lengths, which also correspond to different molecular weights. Band size is usually determined by comparison to DNA ladders containing DNA fragments of known length. Gel electrophoresis can also be used to separate RNA molecules and proteins.",gel electrophoresis,"Question: What analytical technique, using stained gel, can separate dna fragments or rna molecules and proteins?. Supporting Text: Gel electrophoresis is an analytical technique used to separate DNA fragments by size and charge. Notice in Figure below that the ""gels"" are rectangular in shape. The gels are made of a gelatin-like material of either agarose or polyacrylamide. An electric field, with a positive charge applied at one end of the gel, and a negative charge at the other end, forces the fragments to migrate through the gel. DNA molecules migrate from negative to positive charges due to the net negative charge of the phosphate groups in the DNA backbone. Longer molecules migrate more slowly through the gel matrix. After the separation is completed, DNA fragments of different lengths can be visualized using a fluorescent dye specific for DNA, such as ethidium bromide. The resulting stained gel shows bands correspond to DNA molecules of different lengths, which also correspond to different molecular weights. Band size is usually determined by comparison to DNA ladders containing DNA fragments of known length. Gel electrophoresis can also be used to separate RNA molecules and proteins..","['static electrophoresis' 'surface electrophoresis'
 'microwave electrophoresis' 'gel electrophoresis']",3,3,gel electrophoresis
876,Questioning claims based on their scientific verifiability rather than accepting claims based on faith or anecdotes is called what?,scientific fact,scientific extreme,scientific mimicry,scientific skepticism,Scientific skepticism questions claims based on their scientific verifiability rather than accepting claims based on faith or anecdotes. Scientific skepticism uses critical thinking to analyze such claims and opposes claims which lack scientific evidence.,scientific skepticism,Question: Questioning claims based on their scientific verifiability rather than accepting claims based on faith or anecdotes is called what?. Supporting Text: Scientific skepticism questions claims based on their scientific verifiability rather than accepting claims based on faith or anecdotes. Scientific skepticism uses critical thinking to analyze such claims and opposes claims which lack scientific evidence..,"['scientific fact' 'scientific mimicry' 'scientific extreme'
 'scientific skepticism']",3,3,scientific skepticism
877,"Animals with better fitness have a better chance of passing their genes onto the next generation, this process is known as?",fitness selection,survival selection,natural evolution,natural selection,"Like the animals pictured above, all animals have behaviors that help them achieve these basic ends. Behaviors that help animals reproduce or survive increase their fitness. Animals with greater fitness have a better chance of passing their genes to the next generation. If genes control behaviors that increase fitness, the behaviors become more common in the species. In other words, they evolve by natural selection.",natural selection,"Question: Animals with better fitness have a better chance of passing their genes onto the next generation, this process is known as?. Supporting Text: Like the animals pictured above, all animals have behaviors that help them achieve these basic ends. Behaviors that help animals reproduce or survive increase their fitness. Animals with greater fitness have a better chance of passing their genes to the next generation. If genes control behaviors that increase fitness, the behaviors become more common in the species. In other words, they evolve by natural selection..","['fitness selection' 'natural evolution' 'survival selection'
 'natural selection']",3,3,natural selection
878,What acids are the structural components of many lipids and may be saturated or unsaturated?,carbonic acids,fundamental acids,ionic acids,fatty acids,Fatty acids are carboxylic acids that are the structural components of many lipids. They may be saturated or unsaturated.,fatty acids,Question: What acids are the structural components of many lipids and may be saturated or unsaturated?. Supporting Text: Fatty acids are carboxylic acids that are the structural components of many lipids. They may be saturated or unsaturated..,['carbonic acids' 'ionic acids' 'fundamental acids' 'fatty acids'],3,3,fatty acids
879,Earth's axis is an imaginary line passing through which poles?,East and North,west and south,southwest and south,north and south,"Earth's axis is an imaginary line passing through the North and South Poles. Earth's rotation is its spins on its axis. Rotation is what a top does around its spindle. As Earth spins on its axis, it also orbits around the Sun. This is called Earth's revolution . These motions lead to the cycles we see. Day and night, seasons, and the tides are caused by Earth's motions.",north and south,"Question: Earth's axis is an imaginary line passing through which poles?. Supporting Text: Earth's axis is an imaginary line passing through the North and South Poles. Earth's rotation is its spins on its axis. Rotation is what a top does around its spindle. As Earth spins on its axis, it also orbits around the Sun. This is called Earth's revolution . These motions lead to the cycles we see. Day and night, seasons, and the tides are caused by Earth's motions..",['East and North' 'southwest and south' 'west and south' 'north and south'],3,3,north and south
880,What system does addictive drugs affect?,checks and balances,digestive system,honor system,reward system,,reward system,Question: What system does addictive drugs affect?. Supporting Text: .,['checks and balances' 'honor system' 'digestive system' 'reward system'],3,3,reward system
881,What happens when ionic compounds are dissolved in water?,deflect electricity,magnetize electricity,repel electricity,conduct electricity,Ionic compounds conduct electricity when dissolved in water.,conduct electricity,Question: What happens when ionic compounds are dissolved in water?. Supporting Text: Ionic compounds conduct electricity when dissolved in water..,"['deflect electricity' 'repel electricity' 'magnetize electricity'
 'conduct electricity']",3,3,conduct electricity
882,What is the process in which unspecialized cells become specialized in structure and function to perform certain tasks in the body?,mutation,speciation,transcription,differentiation,"Development, growth and reproduction Development is all of the changes the body goes through in life. Development includes the process of differentiation, in which unspecialized cells become specialized in structure and function to perform certain tasks in the body. Development also includes the processes of growth and repair, both of which involve cell differentiation. Growth is the increase in body size. Humans, like all multicellular organisms, grow by increasing the number of existing cells, increasing the amount of non-cellular material around cells (such as mineral deposits in bone), and, within very narrow limits, increasing the size of existing cells. Reproduction is the formation of a new organism from parent organisms. In humans, reproduction is carried out by the male and female reproductive systems. Because death will come to all complex organisms, without reproduction, the line of organisms would end.",differentiation,"Question: What is the process in which unspecialized cells become specialized in structure and function to perform certain tasks in the body?. Supporting Text: Development, growth and reproduction Development is all of the changes the body goes through in life. Development includes the process of differentiation, in which unspecialized cells become specialized in structure and function to perform certain tasks in the body. Development also includes the processes of growth and repair, both of which involve cell differentiation. Growth is the increase in body size. Humans, like all multicellular organisms, grow by increasing the number of existing cells, increasing the amount of non-cellular material around cells (such as mineral deposits in bone), and, within very narrow limits, increasing the size of existing cells. Reproduction is the formation of a new organism from parent organisms. In humans, reproduction is carried out by the male and female reproductive systems. Because death will come to all complex organisms, without reproduction, the line of organisms would end..",['mutation' 'transcription' 'speciation' 'differentiation'],3,3,differentiation
883,Toxins and poisons are ______ enzyme inhibitos,observable,reversible,cancerous,irreversible,,irreversible,Question: Toxins and poisons are ______ enzyme inhibitos. Supporting Text: .,['observable' 'cancerous' 'reversible' 'irreversible'],3,2,reversible
884,How many types of basic sensory receptors are there?,four,five,six,five,,five,Question: How many types of basic sensory receptors are there?. Supporting Text: .,['four' 'six' 'five' 'five'],3,1,six
885,What bond is the force of attraction that holds together two atoms that share a pair of valence electrons?,metallic,polar,hydrogen,covalent,A covalent bond is the force of attraction that holds together two atoms that share a pair of valence electrons. Covalent bonds form only between atoms of nonmetals.,covalent,Question: What bond is the force of attraction that holds together two atoms that share a pair of valence electrons?. Supporting Text: A covalent bond is the force of attraction that holds together two atoms that share a pair of valence electrons. Covalent bonds form only between atoms of nonmetals..,['metallic' 'hydrogen' 'polar' 'covalent'],3,3,covalent
886,"Above the meristem, the rest of the root is covered with a single layer of what type of cells, which may have root hairs?",vegetative,dermal,single celled,epidermal,"Above the meristem, the rest of the root is covered with a single layer of epidermal cells. These cells may have root hairs that increase the surface area for the absorption of water and minerals from the soil. Beneath the epidermis is ground tissue, which may be filled with stored starch. Bundles of vascular tissues form the center of the root. Waxy layers waterproof the vascular tissues so they don’t leak, making them more efficient at carrying fluids. Secondary meristem is located within and around the vascular tissues. This is where growth in thickness occurs.",epidermal,"Question: Above the meristem, the rest of the root is covered with a single layer of what type of cells, which may have root hairs?. Supporting Text: Above the meristem, the rest of the root is covered with a single layer of epidermal cells. These cells may have root hairs that increase the surface area for the absorption of water and minerals from the soil. Beneath the epidermis is ground tissue, which may be filled with stored starch. Bundles of vascular tissues form the center of the root. Waxy layers waterproof the vascular tissues so they don’t leak, making them more efficient at carrying fluids. Secondary meristem is located within and around the vascular tissues. This is where growth in thickness occurs..",['vegetative' 'single celled' 'dermal' 'epidermal'],3,3,epidermal
887,What were the first plants to evolve?,trees,fungi,photoreactive plants,nonvascular plants,Nonvascular plants were the first plants to evolve and do not have vascular tissue.,nonvascular plants,Question: What were the first plants to evolve?. Supporting Text: Nonvascular plants were the first plants to evolve and do not have vascular tissue..,['trees' 'photoreactive plants' 'fungi' 'nonvascular plants'],3,3,nonvascular plants
888,What term describes the distance between two corresponding points on adjacent waves?,variation,frequency,threshold,wavelength,Another important measure of wave size is wavelength. Wavelength is the distance between two corresponding points on adjacent waves (see Figure above ). Wavelength can be measured as the distance between two adjacent crests of a transverse wave or two adjacent compressions of a longitudinal wave. It is usually measured in meters. Wavelength is related to the energy of a wave. Short-wavelength waves have more energy than long-wavelength waves of the same amplitude. You can see examples of waves with shorter and longer wavelengths in Figure below .,wavelength,Question: What term describes the distance between two corresponding points on adjacent waves?. Supporting Text: Another important measure of wave size is wavelength. Wavelength is the distance between two corresponding points on adjacent waves (see Figure above ). Wavelength can be measured as the distance between two adjacent crests of a transverse wave or two adjacent compressions of a longitudinal wave. It is usually measured in meters. Wavelength is related to the energy of a wave. Short-wavelength waves have more energy than long-wavelength waves of the same amplitude. You can see examples of waves with shorter and longer wavelengths in Figure below ..,['variation' 'threshold' 'frequency' 'wavelength'],3,3,wavelength
889,What break down dead organisms and other organic waste and release inorganic molecules back to the environment called?,carnivores,detritivores,nematodes,decomposers,Decomposers break down dead organisms and other organic wastes and release inorganic molecules back to the environment.,decomposers,Question: What break down dead organisms and other organic waste and release inorganic molecules back to the environment called?. Supporting Text: Decomposers break down dead organisms and other organic wastes and release inorganic molecules back to the environment..,['carnivores' 'nematodes' 'detritivores' 'decomposers'],3,3,decomposers
890,The variety of cell shapes seen in prokaryotes and eukaryotes reflects the functions that each what has?,organ,proteins,life,cell,"The variety of cell shapes seen in prokaryotes and eukaryotes reflects the functions that each cell has, confirming the structure-function relationship seen throughout biology. Each cell type has evolved a shape that is best related to its function. For example, the neuron in Figure below has long, thin extensions ( axons and dendritres ) that reach out to other nerve cells. The extensions help the neuron pass chemical and electrical messages quickly through the body. The shape of the red blood cells ( erythrocytes ) enable these cells to easily move through capillaries . The spikes on the pollen grain help it stick to a pollinating insect or animal so that it can be transferred to and pollinate another flower. The long whip-like flagella (tails) of the algae Chlamydomonas help it swim in water.",cell,"Question: The variety of cell shapes seen in prokaryotes and eukaryotes reflects the functions that each what has?. Supporting Text: The variety of cell shapes seen in prokaryotes and eukaryotes reflects the functions that each cell has, confirming the structure-function relationship seen throughout biology. Each cell type has evolved a shape that is best related to its function. For example, the neuron in Figure below has long, thin extensions ( axons and dendritres ) that reach out to other nerve cells. The extensions help the neuron pass chemical and electrical messages quickly through the body. The shape of the red blood cells ( erythrocytes ) enable these cells to easily move through capillaries . The spikes on the pollen grain help it stick to a pollinating insect or animal so that it can be transferred to and pollinate another flower. The long whip-like flagella (tails) of the algae Chlamydomonas help it swim in water..",['organ' 'life' 'proteins' 'cell'],3,3,cell
891,What is the science of classifying living things called?,botany,methodology,terminology,taxonomy,"Like you, scientists also group together similar organisms. The science of classifying living things is called taxonomy. Scientists classify living things in order to organize and make sense of the incredible diversity of life. Modern scientists base their classifications mainly on molecular similarities. They group together organisms that have similar proteins and DNA. Molecular similarities show that organisms are related. In other words, they are descendants of a common ancestor in the past.",taxonomy,"Question: What is the science of classifying living things called?. Supporting Text: Like you, scientists also group together similar organisms. The science of classifying living things is called taxonomy. Scientists classify living things in order to organize and make sense of the incredible diversity of life. Modern scientists base their classifications mainly on molecular similarities. They group together organisms that have similar proteins and DNA. Molecular similarities show that organisms are related. In other words, they are descendants of a common ancestor in the past..",['botany' 'terminology' 'methodology' 'taxonomy'],3,3,taxonomy
892,"Illustrating how form follows function, long, slender protein strands that make up what tissue are essential for contracting and relaxing?",ligaments,tendons,veins,muscle,"Although some polypeptides exist as linear chains, most are twisted or folded into more complex secondary structures that form when bonding occurs between amino acids with different properties at different regions of the polypeptide. The most common secondary structure is a spiral called an alpha-helix. If you were to take a length of string and simply twist it into a spiral, it would not hold the shape. Similarly, a strand of amino acids could not maintain a stable spiral shape without the help of hydrogen bonds, which create bridges between different regions of the same strand (see Figure 2.26b). Less commonly, a polypeptide chain can form a beta-pleated sheet, in which hydrogen bonds form bridges between different regions of a single polypeptide that has folded back upon itself, or between two or more adjacent polypeptide chains. The secondary structure of proteins further folds into a compact three-dimensional shape, referred to as the protein’s tertiary structure (see Figure 2.26c). In this configuration, amino acids that had been very distant in the primary chain can be brought quite close via hydrogen bonds or, in proteins containing cysteine, via disulfide bonds. A disulfide bond is a covalent bond between sulfur atoms in a polypeptide. Often, two or more separate polypeptides bond to form an even larger protein with a quaternary structure (see Figure 2.26d). The polypeptide subunits forming a quaternary structure can be identical or different. For instance, hemoglobin, the protein found in red blood cells is composed of four tertiary polypeptides, two of which are called alpha chains and two of which are called beta chains. When they are exposed to extreme heat, acids, bases, and certain other substances, proteins will denature. Denaturation is a change in the structure of a molecule through physical or chemical means. Denatured proteins lose their functional shape and are no longer able to carry out their jobs. An everyday example of protein denaturation is the curdling of milk when acidic lemon juice is added. The contribution of the shape of a protein to its function can hardly be exaggerated. For example, the long, slender shape of protein strands that make up muscle tissue is essential to their ability to contract (shorten) and relax (lengthen). As another example, bones contain long threads of a protein called collagen that acts as scaffolding upon which bone minerals are deposited. These elongated proteins, called fibrous proteins, are strong and durable and typically hydrophobic.",muscle,"Question: Illustrating how form follows function, long, slender protein strands that make up what tissue are essential for contracting and relaxing?. Supporting Text: Although some polypeptides exist as linear chains, most are twisted or folded into more complex secondary structures that form when bonding occurs between amino acids with different properties at different regions of the polypeptide. The most common secondary structure is a spiral called an alpha-helix. If you were to take a length of string and simply twist it into a spiral, it would not hold the shape. Similarly, a strand of amino acids could not maintain a stable spiral shape without the help of hydrogen bonds, which create bridges between different regions of the same strand (see Figure 2.26b). Less commonly, a polypeptide chain can form a beta-pleated sheet, in which hydrogen bonds form bridges between different regions of a single polypeptide that has folded back upon itself, or between two or more adjacent polypeptide chains. The secondary structure of proteins further folds into a compact three-dimensional shape, referred to as the protein’s tertiary structure (see Figure 2.26c). In this configuration, amino acids that had been very distant in the primary chain can be brought quite close via hydrogen bonds or, in proteins containing cysteine, via disulfide bonds. A disulfide bond is a covalent bond between sulfur atoms in a polypeptide. Often, two or more separate polypeptides bond to form an even larger protein with a quaternary structure (see Figure 2.26d). The polypeptide subunits forming a quaternary structure can be identical or different. For instance, hemoglobin, the protein found in red blood cells is composed of four tertiary polypeptides, two of which are called alpha chains and two of which are called beta chains. When they are exposed to extreme heat, acids, bases, and certain other substances, proteins will denature. Denaturation is a change in the structure of a molecule through physical or chemical means. Denatured proteins lose their functional shape and are no longer able to carry out their jobs. An everyday example of protein denaturation is the curdling of milk when acidic lemon juice is added. The contribution of the shape of a protein to its function can hardly be exaggerated. For example, the long, slender shape of protein strands that make up muscle tissue is essential to their ability to contract (shorten) and relax (lengthen). As another example, bones contain long threads of a protein called collagen that acts as scaffolding upon which bone minerals are deposited. These elongated proteins, called fibrous proteins, are strong and durable and typically hydrophobic..",['ligaments' 'veins' 'tendons' 'muscle'],3,3,muscle
893,What makes marginal lands unsuitable for farming?,disease,flood,pestilence,drought,"Many lands are marginal for farming. When rainfall is normal or high, the lands can produce. When rainfall is low, no crops grow. Drought makes marginal lands unsuitable for farming. Drought can also make good lands more difficult to farm. These changes will increase as temperatures warm.",drought,"Question: What makes marginal lands unsuitable for farming?. Supporting Text: Many lands are marginal for farming. When rainfall is normal or high, the lands can produce. When rainfall is low, no crops grow. Drought makes marginal lands unsuitable for farming. Drought can also make good lands more difficult to farm. These changes will increase as temperatures warm..",['disease' 'pestilence' 'flood' 'drought'],3,3,drought
894,What happens to water when it freezes?,changes volume,changes to gas,it shrinks,it expands,"In its pure liquid form, water is a poor conductor of electricity. Unlike most substances, water is more dense in its liquid state than its solid state. As a result, water expands when it freezes, and ice floats on water.",it expands,"Question: What happens to water when it freezes?. Supporting Text: In its pure liquid form, water is a poor conductor of electricity. Unlike most substances, water is more dense in its liquid state than its solid state. As a result, water expands when it freezes, and ice floats on water..",['changes volume' 'it shrinks' 'changes to gas' 'it expands'],3,3,it expands
